Name	Total
Eddie Nketiah	151
Olivier Boscagli	159
Rafael da Conceição Leão	172
Jarrod Bowen	161
Heung Min Son	178
Tyrell Malacia	161
Gabriel dos S. Magalhães	168
Aurélien Tchouaméni	169
Pablo Martín Páez Gavira	166
Darwin Núñez	164
Rob Holding	156
Declan Rice	171
Dejan Kulusevski	166
Youssoufa Moukoko	158
Richarlison de Andrade	167
Dušan Vlahović	173
Karim Benzema	182
Nico Schlotterbeck	166
Anthony Gordon	155
Ryan Gravenberch	168
Jurriën Timber	167
Noah Mbamba	152
Vinícius José de Oliveira Júnior	175
Karim Adeyemi	161
Takehiro Tomiyasu	163
Bradley Barcola	141
Jude Bellingham	172
Christopher Nkunku	175
Nuno Albertino Varela Tavares	153
Noni Madueke	165
Eduardo Camavinga	168
Joško Gvardiol	168
Ronald Araujo	171
Antony Matheus dos Santos	171
C. Ronaldo dos Santos Aveiro	182
Mason Mount	172
Pedro González López	176
Fikayo Tomori	170
Gabriel Teodoro Martinelli Silva	166
Gonçalo Matias Ramos	161
Sandro Tonali	172
Luis Sinisterra	162
Phil Foden	176
Lionel Messi	184
Boubacar Kamara	166
Anssumane Fati	169
Vítor Machado Ferreira	164
Xavi Simons	151
Aaron Ramsdale	167
Renato Júnior Luz Sanches	166
Anthony Elanga	156
Jamal Musiala	168
Cristian Romero	169
Noussair Mazraoui	168
Julián Álvarez	164
Mohamed-Ali Cho	155
Fábio Leandro Carvalho	159
Tino Livramento	159
Erling Haaland	182
William Saliba	165
Ibrahima Konaté	168
Mike Maignan	175
Bukayo Saka	171
Jacob Ramsey	160
Charles De Ketelaere	164
Emile Smith Rowe	167
Gabriel Fernando de Jesus	169
Marc Guéhi	161
Matthijs de Ligt	174
Nicolò Zaniolo	166
Jules Koundé	172
Enzo Fernández	161
Raphael Dias Belloli	169
Kai Havertz	175
Ibrahim Sangaré	164
Rodrygo Silva de Goes	167
Alessandro Bastoni	172
Octavian Popescu	158
James Ward-Prowse	163
Martin Ødegaard	172
Lautaro Martínez	172
Adam Hložek	164
Rayan Cherki	161
Yves Bissouma	167
Reece James	170
Sven Botman	164
Robert Lewandowski	184
Frenkie de Jong	179
Victor Osimhen	170
Jadon Sancho	174
Rúben Santos Gato Alves Dias	179
Wesley Fofana	164
Amine Gouiri	165
Pau Francisco Torres	171
Cody Gakpo	166
Rayan Aït Nouri	162
Djed Spence	154
Zlatan Ibrahimović	166
Daniel Alves da Silva	154
Trent Alexander-Arnold	177
Brahim Díaz	164
Alphonso Davies	173
Federico Valverde	172
Kayky da Silva Chagas	153
Kevin De Bruyne	182
Kurt Zouma	165
Franck Yannick Kessié	170
Marcus Rashford	170
Lucas Tolentino Coelho de Lima	167
Conor Gallagher	163
Joe Gelhardt	155
Aaron Hickey	158
Tanguy Nianzou	157
Antonio Rüdiger	173
Diogo Meireles Costa	163
Achraf Hakimi	174
Jeremie Frimpong	163
Michael Olise	162
Bruno Guimarães Moura	165
Alan Velasco	160
Radamel Falcao García Zarate	156
Virgil van Dijk	180
Kylian Mbappé	186
Dominik Szoboszlai	166
Neymar da Silva Santos Jr.	180
Jordan Pickford	164
João Pedro Cavaco Cancelo	177
Ben Godfrey	162
Alexander Isak	168
Donny van de Beek	163
Kieran Tierney	168
Ferran Torres García	172
Harvey Elliott	160
Jérémy Doku	160
João Pedro Junqueira de Jesus	155
Kalvin Phillips	166
Ousmane Dembélé	171
Daniel James	159
Theo Hernández	173
Orkun Kökçü	163
Giacomo Raspadori	161
Felipe Rodrigues da Silva	160
Kamaldeen Sulemana	160
Luka Romero	152
Devyne Rensch	157
Arda Güler	149
Paulo Dybala	174
Bruno Miguel Borges Fernandes	175
Ismaël Bennacer	166
Oleksandr Zinchenko	161
Tammy Abraham	165
José Diogo Dalot Teixeira	162
Andriy Lunin	158
Mohammed Salisu	162
Eden Hazard	168
Adama Traoré Diarra	159
Piero Hincapié	159
Armando Broja	162
Florian Wirtz	172
Jack Grealish	169
Benjamin White	165
Takefusa Kubo	163
Gianluca Busio	156
Curtis Jones	161
Jonathan David	166
Maxence Caqueret	164
Nuno Alexandre Tavares Mendes	168
Nicolò Rovella	159
Nicolás González Iglesias	160
Luca Netz	157
Yeremi Jesús Santos Pino	163
Raphaël Varane	172
Riyad Mahrez	172
Mohamed Salah	182
Houssem Aouar	163
Noa Lang	163
Giovanni Reyna	164
Yusuf Demir	155
Cole Palmer	153
Thiago Alcântara	172
Sébastien Haller	165
N'Golo Kanté	180
Yerry Mina	158
Daniel Ceballos Fernández	157
Lorenzo Pellegrini	170
Denis Zakaria	167
Evan Ndicka	165
Gleison Bremer Silva Nascimento	165
Callum Hudson-Odoi	164
Sergio Gómez Martín	153
Moussa Diaby	171
Pedro Antonio Porro Sauceda	167
Eric García Martret	165
Francisco José García Torres	157
Emerson Leite De Souza	160
Nicholas Williams Arthuer	157
Christos Tzolis	157
Dane Scarlett	150
Nicola Zalewski	150
Alejandro Balde Martínez	151
Jamie Bynoe-Gittens	150
Sergio Ramos García	170
Harry Kane	178
Timo Werner	169
Gonçalo Manuel Ganchinho Guedes	167
Ianis Hagi	156
Matty Cash	161
João Maria Palhinha Gonçalves	169
Federico Chiesa	174
Scott McTominay	165
Pedro António Pereira Gonçalves	169
Tariq Lamptey	159
Ivan Ilić	160
Castello Lukeba	159
Giorgio Scalvini	150
Pierre-Emerick Aubameyang	170
Youri Tielemans	171
Joe Gomez	167
Mikel Merino Zazón	170
Gianluca Scamacca	162
Ryan Sessegnon	158
Arnaut Danjuma	161
Mattéo Guendouzi	166
Luis Díaz	169
João Félix Sequeira	174
Ricard Puig Martí	156
Karamoko Dembélé	144
Edmond Tapsoba	166
Brennan Johnson	154
Matheus Luiz Nunes	165
Ilaix Moriba	157
Fábio Daniel Soares Silva	153
Facundo Farías	158
Santiago Simón	158
Adam Karabec	157
Liam Delap	148
Morgan Rogers	150
Romeo Lavia	147
Paul Pogba	172
David Alaba	170
Jamie Vardy	172
Dominic Calvert-Lewin	166
Sergej Milinković-Savić	171
Rúben Diogo da Silva Neves	171
Milan Škriniar	173
Luka Jović	163
Max Aarons	155
Éder Gabriel Militão	173
Illan Meslier	161
Folarin Balogun	149
Sergiño Dest	161
Francesc Fàbregas i Soler	150
Manuel Neuer	180
Sadio Mané	178
Joshua Kimmich	179
Allan Saint-Maximin	165
André Onana	167
Rodrigo Bentancur	162
Dayot Upamecano	169
Tanguy Ndombele	165
Pedro Lomba Neto	163
Lisandro Martínez	165
Tyrick Mitchell	157
Nathan Collins	156
Kouadio Manu Koné	161
Pierre Kalulu	152
Micky van de Ven	151
Luka Modrić	176
Marcos Alonso Mendoza	160
Fábio Henrique Tavares	175
Dele Alli	159
Aymeric Laporte	174
Aaron Wan-Bissaka	165
Arthur Henrique Ramos Oliveira Melo	164
Rodrigo Hernández Cascante	176
Gregor Kobel	169
Moise Kean	166
David Raum	161
Mikkel Damsgaard	162
Gavin Bazunu	154
Pedro De la Vega	159
Ladislav Krejčí	160
Abdessamad Ezzalzouli	153
Andreas Christensen	168
Breel Embolo	157
Nicolò Barella	173
Thilo Kehrer	155
Gianluigi Donnarumma	180
Ruslan Malinovskyi	164
Konstantinos Tsimikas	158
Denzel Dumfries	164
Dean Henderson	164
Carlos Soler Barragán	167
Japhet Tanganga	156
Dan-Axel Zagadou	161
Dávid Hancko	162
Fabricio Díaz	153
Marko Arnautović	162
Héctor Bellerín Moruno	157
Loris Karius	144
Mark Flekken	159
Marcelo Vieira da Silva	158
Stephan El Shaarawy	156
Romelu Lukaku	172
Luke Shaw	166
Alessio Romagnoli	162
Joelinton Apolinário de Lira	153
Nordi Mukiele	164
Christian Pulisic	170
Leon Bailey	165
Weston McKennie	160
Jakub Moder	157
Juan Miranda González	160
Junior Messias	156
Enock Mwepu	158
Jordan Teze	156
Leonidas Stergiou	151
Sebastiano Esposito	153
Elye Wahi	156
Omar Campos	150
José Manuel López	157
Yayah Kallon	152
Ilias Akhomach Chakkour	150
Marco Reus	170
Philippe Coutinho Correia	164
Kalidou Koulibaly	172
Memphis Depay	170
Julian Brandt	167
Rodrigo Javier De Paul	167
Andrew Robertson	174
Bernardo Mota Carvalho e Silva	175
Leroy Sané	173
Diogo José Teixeira da Silva	174
Federico Dimarco	158
Gerson Santos da Silva	160
Mikel Oyarzabal Ugarte	173
Çağlar Söyüncü	160
Ionuț Andrei Radu	153
Martin Terrier	162
Justin Kluivert	156
Matheus Santos Carneiro Da Cunha	164
Ridle Baku	165
Maarten Vandevoordt	154
Mohamed Simakan	162
Maxence Lacroix	162
Troy Parrott	145
Renan Augusto Lodi dos Santos	167
Luca Oyen	152
Destiny Iyenoma Udogie	149
Hugo Siquet	154
Andreas Schjelderup	150
Alex Scott	150
Cade Cowell	149
Rıdvan Yılmaz	152
Issa Kaboré	154
Nnamdi Collins	142
Gareth Bale	162
Mesut Özil	156
Jordan Henderson	166
Mario Balotelli	154
Marco Verratti	174
Emre Can	164
Yannick Carrasco	168
David Raya Martin	153
Ezri Konsa	165
Kyle Walker-Peters	159
Harvey Barnes	164
Mitchel Bakker	156
Rabbi Matondo	155
Mohammed Kudus	160
Alexandre Lacazette	164
Granit Xhaka	158
Lucas Rodrigues M. Silva	162
Gerard Deulofeu Lázaro	158
Raheem Sterling	174
Alejandro Grimaldo García	167
Raúl De Tomás Gómez	165
Thomas Lemar	169
Juan Dinenno	153
Érick Gutiérrez	152
Konrad Laimer	165
Marcos Llorente Moreno	171
Lukas Nmecha	160
Oliver Skipp	161
Albert Sambi Lokonga	158
Mason Greenwood	169
Mohamed Camara	160
Khéphren Thuram	160
Francisco F. da Conceição	158
Gonçalo Esteves	154
Ollie Watkins	159
Giovani Lo Celso	163
Chiedozie Ogbene	143
Alban Lafont	164
Ritsu Doan	160
Ben Brereton Díaz	157
Edson Álvarez	163
Douglas Luiz Soares de Paulo	161
Min Jae Kim	160
Oumar Solet	154
James Garner	152
Jonathan Burkardt	160
Daniel Olmo Carvajal	169
Francisco Mota Castro Trincão	159
Thiago Almada	161
Jean-Clair Todibo	162
Jesper Lindstrøm	159
Rhys Williams	144
Kristian Arnstad	140
Wilfried Singo	158
Eric Martel	151
Amadou Onana	156
Luka Sučić	153
Charlie Patino	149
Maurits Kjaergaard	148
Dries Mertens	168
Francisco Román Alarcón Suárez	164
Harry Maguire	165
Leon Goretzka	177
Thomas Partey	168
Otávio Edmilson da Silva Monteiro	164
Maxwel Cornet	157
Képler Laveran Lima Ferreira	164
Marek Hamšík	160
Axel Witsel	162
Edinson Cavani	166
Ivan Perišić	162
Christian Eriksen	164
Ciro Immobile	172
Wilfried Zaha	164
Ruben Loftus-Cheek	155
Iñaki Williams Arthuer	163
Manuel Locatelli	168
Everton Sousa Soares	159
Robin Gosens	166
Hee Chan Hwang	157
Wilfred Ndidi	170
Davide Calabria	159
Issa Diop	159
Alexis Vega	158
Domilson Cordeiro dos Santos	159
João Pedro Neves Filipe	156
Ismaïla Sarr	160
Ethan Ampadu	151
Owen Wijndal	163
David Neres Campos	161
Scott Twine	147
Marc Cucurella Saseta	163
Nicolás De la Cruz	159
Mauro Jaqueson J. Ferreira Santos	151
Alexis Saelemaekers	158
Luca Pellegrini	154
Borna Sosa	158
Marcus Holmgren Pedersen	157
Vitaliy Mykolenko	159
Ander Barrenetxea	157
Martín Zubimendi Ibáñez	159
Calvin Ramsay	143
Yunus Musah	156
Lucas Gourna	153
Ansgar Knauff	153
Wilfried Gnonto	147
Louie Barry	146
Levi Colwill	153
Nahuel Molina	158
Joe Willock	159
Patson Daka	161
Brandon Williams	153
Kang In Lee	156
Aster Vranckx	156
Amad Diallo	153
Luke Thomas	157
Kerem Aktürkoğlu	154
Antonio Blanco Conde	154
Franck Ribéry	156
David Josué Jiménez Silva	168
Luis Suárez	172
Alexis Sánchez	160
Marc-André ter Stegen	178
David De Gea Quintana	174
Jesse Lingard	158
Marcos Aoás Corrêa	179
Andrea Belotti	160
Gaëtan Laborde	163
Ederson Santana de Moraes	180
Ivan Toney	156
Alisson Ramses Becker	179
Demarai Gray	157
Hirving Lozano	163
Dominic Solanke	154
Steven Bergwijn	163
Marcus Thuram	162
Ferland Mendy	169
Manuel Akanji	166
Mile Svilar	148
Trevoh Chalobah	158
Emre Mor	149
Jesper Karlsson	161
Alex Nicolao Telles	162
Lucas Hernández	170
Julian Weigl	161
Ryan Kent	154
Duje Ćaleta-Car	161
Presnel Kimpembe	170
Uğurcan Çakır	165
André-Franck Zambo Anguissa	161
Antonee Robinson	151
Gianluca Mancini	163
Mario Hermoso Canseco	167
Josh Dasilva	152
Justin Bijlow	165
Luiz Felipe Ramos Marchi	163
Myron Boadu	158
Alejandro Centelles Plaza	159
Cheick Doucouré	154
Enzo Loiodice	151
Viktor Tsygankov	165
Alexander Bah	158
Armel Bella Kotchap	154
Gabriel Slonina	146
Pierre Dwomoh	147
Ricardo Pepi	152
Tommaso Pobega	158
Marco Kana	146
Adil Aouchiche	153
Amine Adli	158
Malick Thiaw	154
F. Evanilson de Lima Barbosa	161
Arthur Theate	155
Hannibal Mejbri	148
Theo Corbeanu	145
Marko Bulat	152
Martin Baturina	151
Juan Manuel Mata García	152
Diego da Silva Costa	160
Séamus Coleman	156
Ángel Di María	170
Jérôme Boateng	160
Toby Alderweireld	166
Kyle Walker	170
James Tavernier	154
Dušan Tadić	168
Samuel Umtiti	158
Serge Gnabry	170
Adnan Januzaj	162
Frederico de Paula Santos	160
Samuel Castillejo Azuaga	150
Mohamed Elneny	152
Domenico Berardi	166
Niklas Süle	170
Divock Origi	153
James Maddison	166
Lukas Klostermann	164
Denis Bouanga	150
Takumi Minamino	153
Benjamin Pavard	161
Nélson Cabral Semedo	162
Donyell Malen	164
Mark Travers	153
Daichi Kamada	161
Marcos Nascimento Teixeira	161
Marcus Edwards	160
Eberechi Eze	160
Robin Koch	157
Reggie Cannon	154
Juan Camilo Hernández	156
Pascal Struijk	157
Frank Onyeka	154
Boubakary Soumaré	160
Alexis Mac Allister	158
Dennis Man	155
Angel Gomes	154
Hamed Junior Traorè	161
Lutsharel Geertruida	160
Bryan Mbeumo	156
Loïs Openda	155
Oihan Sancet Tirapu	160
Luis Javier Suárez	159
Ethan Laird	152
Hugo Guillamón Sammartín	158
Carlos Neva Tey	161
Marcos Antonio Silva Santos	156
Junior Dina Ebimbe	152
Jamie Leweling	152
Samuele Ricci	157
Kenneth Taylor	152
Julio César Enciso	146
Fábio Daniel Ferreira Vieira	162
Takuhiro Nakai	144
Benjamin Šeško	150
Kaio Jorge Pinto Ramos	151
Kevin Schade	153
Fernando Luiz Rosa	162
Carlos Tévez	156
Georginio Wijnaldum	164
Kevin Trapp	168
Lorenzo Insigne	170
Carlos Henrique Venancio Casimiro	178
Raúl Jiménez	164
Chancel Mbemba	161
Saúl Ñíguez Esclápez	161
Nathan Aké	159
Pierluigi Gollini	161
José Luís Gayà Peña	169
Neal Maupay	159
Riechedly Bazoer	156
Anderson Souza Conceição	164
Robert Kenedy Nunes do Nascimento	155
José Ángel Esmoris Tasende	168
Pablo Maffeo Becerra	157
Krzysztof Piątek	152
Joachim Andersen	157
Krystian Bielik	152
Benjamin Henrichs	157
Unai Simón Mendibil	167
Reiss Nelson	151
Rasmus Kristensen	159
Igor Zubeldia Elorza	163
Jens Petter Hauge	157
Édouard Mendy	173
Zack Steffen	160
Keidi Bare	161
Valentin Castellanos	156
Wenderson Nascimento Galeno	160
José Juan Macías	154
Davide Frattesi	159
Paulo Henrique Sampaio Filho	155
Timothy Weah	155
Lewis Ferguson	150
Benoît Badiashile	160
Neco Williams	153
Ryan Giles	149
Yacine Adli	159
Sofiane Diop	164
Billy Gilmour	154
Felix Nmecha	144
Alex Král	156
Jarrad Branthwaite	150
David Mota Teixeira Carmo	156
Kacper Kozłowski	153
Joey Veerman	160
Facundo Pellistri	156
Sam Greenwood	146
Tommy Doyle	146
Niels Nkounkou	146
Michel Ange Balikwisha	155
Hugo Ekitike	154
Julián Aude	150
Illia Zabarnyi	156
Yorbe Vertessen	155
Cristian Medina	152
Gianluigi Buffon	160
Lukas Podolski	144
Thiago Emiliano da Silva	172
Gonzalo Higuaín	156
Toni Kroos	176
Oscar dos Santos Emboaba	164
Jordi Alba Ramos	168
Michail Antonio	160
Danny Ings	160
Joel Matip	168
José Ignacio Fernández Iglesias	162
Roberto Firmino Barbosa de Oliveira	170
Leonardo Spinazzola	166
Daniel Carvajal Ramos	168
